name,symbol,category
Multi Bintang Indonesia Tbk.,MLBI.JK,Unknown
Mulia Industrindo Tbk,MLIA.JK,Unknown
Multipolar Tbk.,MLPL.JK,Unknown
Multipolar Technology Tbk.,MLPT.JK,Unknown
Mega Manunggal Property Tbk.,MMLP.JK,Unknown
Media Nusantara Citra Tbk.,MNCN.JK,Unknown
Mitra Pinasthika Mustika Tbk.,MPMX.JK,Unknown
Matahari Putra Prima Tbk.,MPPA.JK,Unknown
Mustika Ratu Tbk.,MRAT.JK,Unknown
Maskapai Reasuransi Indonesia,MREI.JK,Unknown
MNC Sky Vision Tbk.,MSKY.JK,Unknown
Metrodata Electronics Tbk.,MTDL.JK,Unknown
Capitalinc Investment Tbk.,MTFN.JK,Unknown
Metropolitan Land Tbk.,MTLA.JK,Unknown
Metro Realty Tbk.,MTSM.JK,Unknown
Samindo Resources Tbk.,MYOH.JK,Unknown
Mayora Indah Tbk.,MYOR.JK,Unknown
Hanson International Tbk.,MYRX.JK,Unknown
Asia Pacific Investama Tbk.,MYTX.JK,Unknown
Pelayaran Nelly Dwi Putri Tbk.,NELY.JK,Unknown
Pelat Timah Nusantara Tbk.,NIKL.JK,Unknown
Nipress Tbk.,NIPS.JK,Unknown
City Retail Developments Tbk.,NIRO.JK,Unknown
Bank OCBC NISP Tbk.,NISP.JK,Unknown
Bank Nationalnobu Tbk.,NOBU.JK,Unknown
Nusa Raya Cipta Tbk.,NRCA.JK,Unknown
Onix Capital Tbk.,OCAP.JK,Unknown
Ancora Indonesia Resources Tbk,OKAS.JK,Unknown
Indonesia Prima Property Tbk,OMRE.JK,Unknown
Minna Padi Investama Sekuritas,PADI.JK,Unknown
Provident Investasi Bersama Tb,PALM.JK,Unknown
Panorama Sentrawisata Tbk.,PANR.JK,Unknown
Panin Sekuritas Tbk.,PANS.JK,Unknown
Pan Brothers Tbk.,PBRX.JK,Unknown
Destinasi Tirta Nusantara Tbk,PDES.JK,Unknown
Panca Global Kapital Tbk.,PEGE.JK,Unknown
Perusahaan Gas Negara Tbk.,PGAS.JK,Unknown
Pembangunan Graha Lestari Inda,PGLI.JK,Unknown
Pelangi Indah Canindo Tbk,PICO.JK,Unknown
Pembangunan Jaya Ancol Tbk.,PJAA.JK,Unknown
Perdana Karya Perkasa Tbk,PKPK.JK,Unknown
Polaris Investama Tbk,PLAS.JK,Unknown
Plaza Indonesia Realty Tbk.,PLIN.JK,Unknown
Bank Pan Indonesia Tbk,PNBN.JK,Unknown
Bank Panin Dubai Syariah Tbk.,PNBS.JK,Unknown
Paninvest Tbk.,PNIN.JK,Unknown
Panin Financial Tbk.,PNLF.JK,Unknown
Pudjiadi & Sons Tbk.,PNSE.JK,Unknown
Asia Pacific Fibers Tbk,POLY.JK,Unknown
Pool Advista Indonesia Tbk.,POOL.JK,Unknown
PP Properti Tbk.,PPRO.JK,Unknown
Prima Alloy Steel Universal Tb,PRAS.JK,Unknown
J Resources Asia Pasifik Tbk.,PSAB.JK,Unknown
Prasidha Aneka Niaga Tbk,PSDN.JK,Unknown
Red Planet Indonesia Tbk.,PSKT.JK,Unknown
Bukit Asam Tbk.,PTBA.JK,Unknown
Indo Straits Tbk.,PTIS.JK,Unknown
PP (Persero) Tbk.,PTPP.JK,Unknown
Petrosea Tbk.,PTRO.JK,Unknown
Sat Nusapersada Tbk,PTSN.JK,Unknown
Pioneerindo Gourmet Internatio,PTSP.JK,Unknown
Pudjiadi Prestige Tbk.,PUDP.JK,Unknown
Pakuwon Jati Tbk.,PWON.JK,Unknown
Pyridam Farma Tbk,PYFA.JK,Unknown
Rukun Raharja Tbk.,RAJA.JK,Unknown
Ramayana Lestari Sentosa Tbk.,RALS.JK,Unknown
Supra Boga Lestari Tbk.,RANC.JK,Unknown
Ristia Bintang Mahkotasejati T,RBMS.JK,Unknown
Roda Vivatex Tbk,RDTX.JK,Unknown
Reliance Sekuritas Indonesia T,RELI.JK,Unknown
Ricky Putra Globalindo Tbk,RICY.JK,Unknown
Rig Tenders Indonesia Tbk.,RIGS.JK,Unknown
Rimo International Lestari Tbk,RIMO.JK,Unknown
Bentoel Internasional Investam,RMBA.JK,Unknown
Pikko Land Development Tbk.,RODA.JK,Unknown
Nippon Indosari Corpindo Tbk.,ROTI.JK,Unknown
Radiant Utama Interinsco Tbk.,RUIS.JK,Unknown
Steady Safe Tbk,SAFE.JK,Unknown
Sarana Meditama Metropolitan T,SAME.JK,Unknown
Supreme Cable Manufacturing &,SCCO.JK,Unknown
Surya Citra Media Tbk.,SCMA.JK,Unknown
Organon Pharma Indonesia Tbk.,SCPI.JK,Unknown
Sidomulyo Selaras Tbk.,SDMU.JK,Unknown
Millennium Pharmacon Internati,SDPC.JK,Unknown
Bank Woori Saudara Indonesia 1,SDRA.JK,Unknown
Sampoerna Agro Tbk.,SGRO.JK,Unknown
Hotel Sahid Jaya International,SHID.JK,Unknown
Industri Jamu dan Farmasi Sido,SIDO.JK,Unknown
Siloam International Hospitals,SILO.JK,Unknown
Siwani Makmur Tbk,SIMA.JK,Unknown
Salim Ivomas Pratama Tbk.,SIMP.JK,Unknown
Sreeya Sewu Indonesia Tbk.,SIPD.JK,Unknown
Sekar Bumi Tbk.,SKBM.JK,Unknown
Sekar Laut Tbk.,SKLT.JK,Unknown
Northcliff Citranusa Indonesia,SKYB.JK,Unknown
Smart Tbk.,SMAR.JK,Unknown
Semen Baturaja (Persero) Tbk.,SMBR.JK,Unknown
Solusi Bangun Indonesia Tbk.,SMCB.JK,Unknown
Suryamas Dutamakmur Tbk.,SMDM.JK,Unknown
Samudera Indonesia Tbk.,SMDR.JK,Unknown
Semen Indonesia (Persero) Tbk.,SMGR.JK,Unknown
Sinarmas Multiartha Tbk.,SMMA.JK,Unknown
Golden Eagle Energy Tbk.,SMMT.JK,Unknown
Summarecon Agung Tbk.,SMRA.JK,Unknown
SMR Utama Tbk.,SMRU.JK,Unknown
Selamat Sempurna Tbk.,SMSM.JK,Unknown
Soechi Lines Tbk.,SOCI.JK,Unknown
Sona Topas Tourism Industry Tb,SONA.JK,Unknown
Suparma Tbk.,SPMA.JK,Unknown
Wilton Makmur Indonesia Tbk.,SQMI.JK,Unknown
Sejahteraraya Anugrahjaya Tbk.,SRAJ.JK,Unknown
Sri Rejeki Isman Tbk.,SRIL.JK,Unknown
Indo Acidatama Tbk,SRSN.JK,Unknown
Saratoga Investama Sedaya Tbk.,SRTG.JK,Unknown
Surya Semesta Internusa Tbk.,SSIA.JK,Unknown
Sawit Sumbermas Sarana Tbk.,SSMS.JK,Unknown
Sunson Textile Manufacture Tbk,SSTM.JK,Unknown
Buana Artha Anugerah Tbk.,STAR.JK,Unknown
Siantar Top Tbk.,STTP.JK,Unknown
Sugih Energy Tbk.,SUGI.JK,Unknown
SLJ Global Tbk.,SULI.JK,Unknown
Solusi Tunas Pratama Tbk.,SUPR.JK,Unknown
Tunas Alfin Tbk.,TALF.JK,Unknown
Agung Semesta Sejahtera Tbk.,TARA.JK,Unknown
Express Transindo Utama Tbk.,TAXI.JK,Unknown
Tower Bersama Infrastructure T,TBIG.JK,Unknown
Tunas Baru Lampung Tbk.,TBLA.JK,Unknown
Tembaga Mulia Semanan Tbk.,TBMS.JK,Unknown
Pabrik Kertas Tjiwi Kimia Tbk.,TKIM.JK,Unknown
Telkom Indonesia (Persero) Tbk,TLKM.JK,Unknown
Temas Tbk.,TMAS.JK,Unknown
Tempo Intimedia Tbk.,TMPO.JK,Unknown
TBS Energi Utama Tbk.,TOBA.JK,Unknown
Total Bangun Persada Tbk.,TOTL.JK,Unknown
Surya Toto Indonesia Tbk.,TOTO.JK,Unknown
Sarana Menara Nusantara Tbk.,TOWR.JK,Unknown
Chandra Asri Petrochemical Tbk,TPIA.JK,Unknown
Trans Power Marine Tbk.,TPMA.JK,Unknown
Trada Alam Minera Tbk.,TRAM.JK,Unknown
Triwira Insanlestari Tbk.,TRIL.JK,Unknown
Trimegah Sekuritas Indonesia T,TRIM.JK,Unknown
Trikomsel Oke Tbk.,TRIO.JK,Unknown
Trisula International Tbk.,TRIS.JK,Unknown
Trias Sentosa Tbk.,TRST.JK,Unknown
